advantage,n_random,n_fund,n_chart,n_mm_slow,n_mm_fast,time_dt,price_dt
1.0,4,4,4,1,4,41.0,0.043035488089190395
1.0,4,4,4,2,4,34.0,0.02583058052668444
1.0,4,4,5,1,4,30.0,-0.00253355982509373
1.0,4,4,5,2,4,34.0,0.044342065472911966
1.0,4,4,6,1,4,23.0,-0.06400247861273733
1.0,4,4,6,2,4,29.0,-0.0646608435959034
1.0,4,4,7,1,4,23.0,-0.00013864357895838919
1.0,4,4,7,2,4,49.0,0.016724160757209977
1.0,4,4,8,1,4,26.0,0.013391836936719676
1.0,4,4,8,2,4,36.0,0.058812895363599765
1.0,4,4,9,1,4,48.0,0.060021838704868144
1.0,4,4,9,2,4,19.0,-0.060600510985318976
1.0,4,5,4,1,4,21.0,0.018236408152347897
1.0,4,5,4,2,4,35.0,0.04021527732837379
1.0,4,5,5,1,4,33.0,0.025493902882398303
1.0,4,5,5,2,4,44.0,0.05371635725223702
1.0,4,5,6,1,4,31.0,0.03164305571970327
1.0,4,5,6,2,4,21.0,-0.06894784201445678
1.0,4,5,7,1,4,41.0,0.037340569676906285
1.0,4,5,7,2,4,39.0,0.03723482030640109
1.0,4,5,8,1,4,31.0,0.058454665226975025
1.0,4,5,8,2,4,29.0,0.045956187528316844
1.0,4,5,9,1,4,33.0,0.041427291361343155
1.0,4,5,9,2,4,18.0,0.015093303373055322
1.0,4,6,4,1,4,40.0,0.04216650646318984
1.0,4,6,4,2,4,31.0,0.032589473056507126
1.0,4,6,5,1,4,35.0,0.04960220082403197
1.0,4,6,5,2,4,44.0,0.04446801882980329
1.0,4,6,6,1,4,33.0,0.03779165751927852
1.0,4,6,6,2,4,39.0,0.04666064446297847
1.0,4,6,7,1,4,35.0,0.032808750138817774
1.0,4,6,7,2,4,42.0,0.023111560650236576
1.0,4,6,8,1,4,26.0,0.03462503762157515
1.0,4,6,8,2,4,30.0,0.009784075521985722
1.0,4,6,9,1,4,25.0,0.030840510952442408
1.0,4,6,9,2,4,35.0,0.043902262188155315
1.0,4,7,4,1,4,30.0,0.029128641561669763
1.0,4,7,4,2,4,38.0,0.03331858047233559
1.0,4,7,5,1,4,22.0,0.02913171711113958
1.0,4,7,5,2,4,30.0,0.02655382744012413
1.0,4,7,6,1,4,38.0,0.04184134937692203
1.0,4,7,6,2,4,31.0,0.03892891462979357
1.0,4,7,7,1,4,33.0,0.046139132441266426
1.0,4,7,7,2,4,35.0,0.04995384844325593
1.0,4,7,8,1,4,27.0,0.029705693291494726
1.0,4,7,8,2,4,31.0,0.04419920746346312
1.0,4,7,9,1,4,27.0,0.044988523443123096
1.0,4,7,9,2,4,26.0,0.027450450357837806
1.0,4,8,4,1,4,29.0,0.03681288100124544
1.0,4,8,4,2,4,46.0,0.048947945261425374
1.0,4,8,5,1,4,34.0,0.0323263038954121
1.0,4,8,5,2,4,35.0,0.02737352431302504
1.0,4,8,6,1,4,39.0,0.049905095834714
1.0,4,8,6,2,4,36.0,0.038792056918003734
1.0,4,8,7,1,4,27.0,0.034014696131437004
1.0,4,8,7,2,4,32.0,0.04709464608667013
1.0,4,8,8,1,4,33.0,0.040926548214131865
1.0,4,8,8,2,4,21.0,0.0023218365307851405
1.0,4,8,9,1,4,38.0,0.04934993482259201
1.0,4,8,9,2,4,35.0,0.036854462430338616
1.0,4,9,4,1,4,22.0,0.017820532285960203
1.0,4,9,4,2,4,26.0,0.017636144096954774
1.0,4,9,5,1,4,29.0,0.021563363136249156
1.0,4,9,5,2,4,30.0,0.03892208011154247
1.0,4,9,6,1,4,30.0,0.02579333373268494
1.0,4,9,6,2,4,32.0,0.043755940498702676
1.0,4,9,7,1,4,28.0,0.04139326975714705
1.0,4,9,7,2,4,35.0,0.02087527582319066
1.0,4,9,8,1,4,22.0,0.02936742145138933
1.0,4,9,8,2,4,30.0,0.039514354721223596
1.0,4,9,9,1,4,27.0,0.020061147328407535
1.0,4,9,9,2,4,21.0,0.049119764356190664
1.0,5,4,4,1,4,31.0,0.04092062219848711
1.0,5,4,4,2,4,44.0,0.04499582952141668
1.0,5,4,5,1,4,43.0,0.04749188549257202
1.0,5,4,5,2,4,32.0,0.030502845582652125
1.0,5,4,6,1,4,37.0,0.04589793983688972
1.0,5,4,6,2,4,28.0,0.026027873649504103
1.0,5,4,7,1,4,28.0,-0.05376962804882187
1.0,5,4,7,2,4,32.0,0.05124684427257866
1.0,5,4,8,1,4,19.0,-0.06768684707410641
1.0,5,4,8,2,4,29.0,0.0548051516321932
1.0,5,4,9,1,4,35.0,0.05070856876666252
1.0,5,4,9,2,4,46.0,0.04720236804089446
1.0,5,5,4,1,4,33.0,0.030605216193122946
1.0,5,5,4,2,4,33.0,0.039791501765248594
1.0,5,5,5,1,4,45.0,0.05354188151821235
1.0,5,5,5,2,4,39.0,0.022805653194081777
1.0,5,5,6,1,4,44.0,0.020360414445921095
1.0,5,5,6,2,4,35.0,0.016766557622874326
1.0,5,5,7,1,4,39.0,0.060389126182111244
1.0,5,5,7,2,4,33.0,0.03792836637102
1.0,5,5,8,1,4,41.0,0.040289851494845895
1.0,5,5,8,2,4,36.0,0.06623376823926484
1.0,5,5,9,1,4,44.0,-0.0015432282287417387
1.0,5,5,9,2,4,21.0,-0.07007074379708639
1.0,5,6,4,1,4,19.0,-0.05531725510151817
1.0,5,6,4,2,4,29.0,0.03188604456370057
1.0,5,6,5,1,4,36.0,0.04002033002542062
1.0,5,6,5,2,4,44.0,0.04969730203499892
1.0,5,6,6,1,4,34.0,0.04639418192134834
1.0,5,6,6,2,4,39.0,0.036250938861180367
1.0,5,6,7,1,4,19.0,-0.06713293091451131
1.0,5,6,7,2,4,30.0,0.04106777189896531
1.0,5,6,8,1,4,58.0,0.06419214873014731
1.0,5,6,8,2,4,43.0,0.054584551647724903
1.0,5,6,9,1,4,19.0,-0.04875448884781654
1.0,5,6,9,2,4,25.0,0.018522241089709908
1.0,5,7,4,1,4,44.0,0.048833713926258175
1.0,5,7,4,2,4,48.0,0.059369498370017516
1.0,5,7,5,1,4,31.0,0.03145440871801859
1.0,5,7,5,2,4,26.0,0.01454769494102267
1.0,5,7,6,1,4,34.0,0.040350000001157994
1.0,5,7,6,2,4,29.0,0.026487744849999
1.0,5,7,7,1,4,37.0,0.03922763842011759
1.0,5,7,7,2,4,40.0,0.04622430410395075
1.0,5,7,8,1,4,26.0,0.03015141782930566
1.0,5,7,8,2,4,36.0,0.02208700019275602
1.0,5,7,9,1,4,32.0,0.04999493411209131
1.0,5,7,9,2,4,28.0,0.045690944381563084
1.0,5,8,4,1,4,30.0,0.03356104097331366
1.0,5,8,4,2,4,32.0,0.035251490638850295
1.0,5,8,5,1,4,33.0,0.03996997481586079
1.0,5,8,5,2,4,35.0,0.038740005917033145
1.0,5,8,6,1,4,33.0,0.04674470458582057
1.0,5,8,6,2,4,35.0,0.038145981183481774
1.0,5,8,7,1,4,38.0,0.03965478810231838
1.0,5,8,7,2,4,29.0,0.025318337911126088
1.0,5,8,8,1,4,36.0,0.03391122259682576
